import time: self [us] | cumulative | imported package
import time:      1077 |       1077 |                   frozenlist._frozenlist
import time:       493 |       1570 |                 frozenlist
import time:       552 |       2122 |               aiosignal
import time:      3546 |       5667 |             aiohttp.tracing
import time:      1341 |     126660 |           aiohttp.client
import time:       572 |        572 |           aiohttp.client_middleware_digest_auth
import time:       357 |        357 |           aiohttp.payload_streamer
import time:       367 |     132377 |         aiohttp
import time:        73 |         73 |                   google
import time:      1315 |       1387 |                 google.protobuf
import time:       547 |        547 |                   google.protobuf.internal
import time:        20 |         20 |                     google.protobuf.internal._api_implementation
import time:       482 |        482 |                     google.protobuf.message
import time:      1140 |       1140 |                     google.protobuf.internal.enum_type_wrapper
import time:        32 |         32 |                     google.protobuf.enable_deterministic_proto_serialization
import time:      1821 |       3493 |                   google.protobuf.internal.api_implementation
import time:      1095 |       5134 |                 google.protobuf.descriptor
import time:       311 |        311 |                   google.protobuf.descriptor_database
import time:       726 |        726 |                   google.protobuf.text_encoding
import time:       103 |        103 |                   google.protobuf.internal.python_edition_defaults
import time:       206 |        206 |                       encodings.raw_unicode_escape
import time:       235 |        235 |                       encodings.unicode_escape
import time:       306 |        306 |                         numbers
import time:       598 |        598 |                         google.protobuf.internal.containers
import time:       235 |        235 |                           google.protobuf.internal.wire_format
import time:       364 |        598 |                         google.protobuf.internal.encoder
import time:      1032 |       2533 |                       google.protobuf.internal.decoder
import time:       361 |        361 |                       google.protobuf.internal.type_checkers
import time:       242 |        242 |                       google.protobuf.unknown_fields
import time:       816 |       4391 |                     google.protobuf.text_format
import time:       265 |        265 |                     google.protobuf.internal.extension_dict
import time:       102 |        102 |                     google.protobuf.internal.message_listener
import time:       219 |        219 |                       google.protobuf.internal.field_mask
import time:       379 |        597 |                     google.protobuf.internal.well_known_types
import time:       584 |       5937 |                   google.protobuf.internal.python_message
import time:       799 |       7874 |                 google.protobuf.descriptor_pool
import time:       406 |        406 |                 google.protobuf.runtime_version
import time:        93 |         93 |                     google.protobuf.pyext
import time:       141 |        141 |                     google.protobuf.pyext.cpp_message
import time:       240 |        474 |                   google.protobuf.message_factory
import time:       121 |        594 |                 google.protobuf.symbol_database
import time:        84 |         84 |                   google.protobuf.reflection
import time:       106 |        190 |                 google.protobuf.internal.builder
import time:       278 |        278 |                   google.protobuf.timestamp_pb2
import time:       287 |        287 |                     livekit.protocol.logger_pb
import time:      1129 |       1129 |                       google.protobuf.descriptor_pb2
import time:       510 |       1638 |                     livekit.protocol.logger_pb.options
import time:       248 |       2172 |                   livekit.protocol.metrics
import time:      1052 |       3501 |                 livekit.protocol.models
